ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
25462,JD365439,09/13/2020 12:17:00 AM,061XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0313,003,20,42,01A,1180958,1864379,2020,09/20/2020 03:48:20 PM,41.783104769,-87.612090172,"(41.783104769, -87.612090172)"
24964,JD161148,02/22/2020 03:48:00 PM,073XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,true,0324,003,7,43,01A,1189980,1856586,2020,02/29/2020 03:51:50 PM,41.761507733,-87.579263613,"(41.761507733, -87.579263613)"
25463,JD366424,09/14/2020 12:12:00 AM,074XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0323,003,6,69,01A,1182512,1855891,2020,10/22/2020 03:45:01 PM,41.759776965,-87.606655704,"(41.759776965, -87.606655704)"
20102,HT548795,10/18/2011 10:17:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0312,003,20,69,01A,1180028,1862371,2011,06/18/2020 03:46:39 PM,41.777615976,-87.615561272,"(41.777615976, -87.615561272)"
24745,JC432520,09/13/2019 11:50:00 PM,060XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,68,01A,1176337,1864943,2019,06/20/2020 03:48:45 PM,41.784757558,-87.629015193,"(41.784757558, -87.629015193)"
24465,JC209639,04/03/2019 12:22:00 AM,061XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0311,003,20,40,01A,1179974,1864409,2019,06/20/2020 03:48:45 PM,41.783209684,-87.615696882,"(41.783209684, -87.615696882)"
24043,JB342761,07/09/2018 08:16:00 PM,000XX E 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,CTA BUS,true,false,0312,003,20,69,01A,1178252,1863237,2018,06/20/2020 03:48:45 PM,41.780032862,-87.622045795,"(41.780032862, -87.622045795)"
20446,HV320622,06/05/2012 11:31:00 PM,068XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0322,003,20,69,01A,1179657,1859803,2012,06/20/2020 03:48:45 PM,41.770577612,-87.616999766,"(41.770577612, -87.616999766)"
23646,JA471943,10/15/2017 11:38:00 AM,067XX S JEFFERY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0331,003,5,43,01A,1190706,1860644,2017,06/20/2020 03:48:45 PM,41.772625715,-87.576471929,"(41.772625715, -87.576471929)"
23001,HZ539266,12/04/2016 03:07:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,true,false,0312,003,20,69,01A,1180013,1862902,2016,06/20/2020 03:48:45 PM,41.779073436,-87.615600014,"(41.779073436, -87.615600014)"
